radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Uncertainty,Orbital Period Value,Orbital Period Uncertainty,Transit Duration (hours) Value,Transit Duration (hours) Uncertainty,Transit Depth Value,Transit Depth Uncertainty,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Uncertainty,Planet Radius Value,Planet Radius Uncertainty,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Edited,Stellar Mass,Unnamed: 0,Target,RA,Dec,Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,3,1,,,K2-91 b,,24.205112,,,,,1.419549,,,,,,,,,,,0.28,,1.1,,,3622.0,,45.15217220530415,,,,,0.29,,,,,,,,15.572000000000001,11.433,,,12.569096354989956,1.367,1.7784305239462674,8.811066916415907,1,3,1,0.0,0
1,3,1,,,K2-151 b,,9.501381,,,,,3.835476,,,,,,,,,,,0.45,,1.49,,,3695.0,,24.327259343935143,,,,,0.47,,,,,,,,14.14,10.93,,,17.82086502080099,2.8286,1.9149189298135858,4.4253833355056065,1,3,1,0.0,0
1,3,1,,,K2-133 b,,25.010006,,,,,3.07133,,,,,,,,,,,0.46,,1.34,,,3655.0,,33.201622663760375,,,,,0.46,,,,,,,,14.288,11.084000000000001,,,14.925936706116039,2.3617,1.7466043266658744,3.714746555946093,1,3,1,0.0,0
1,3,2,,,HD 219134 c,,57.168354,,,,,6.76458,,,,,,,,,,,0.78,,1.511,,,4699.0,,62.41196282246517,,,,,0.81,,,,,,,,5.57,3.9810000000000003,,,17.99382354544934,4.36,1.6995477910743408,205.21871411488715,1,3,2,1.0,1
1,3,2,,,K2-83 b,,15.558886,,,,,2.74697,,,,,,,,,,,0.42,,1.244,,,3910.0,,40.88909967668503,,,,,0.48,,,,,,,,14.514000000000001,11.599,,,15.39204160385028,2.0814,1.5529611942654145,3.361818449728564,1,3,2,2.0,2
1,4,1,,,K2-147 b,,-28.497833,,,,,0.961917,,,,,,,,,,,0.55,,1.38,,,3672.0,,194.7908672424409,,,,,0.58,,,,,,,,14.019,10.835,,,6.21967278644949,2.4828,2.3166533747966,4.712242701999268,1,4,1,1.0,1
1,4,2,,,HD 219134 b,,57.168354,,,,,3.092926,,,,,,,,,,,0.78,,1.6019999999999999,,,4699.0,,177.18607382272282,,,,,0.81,,,,,,,,5.57,3.9810000000000003,,,10.679295048284052,4.74,2.398367164714751,292.0180441092127,1,4,2,1.0,1
1,4,2,,,GJ 9827 b,,-1.286273,,,,,1.2089819,,,,,,,,,,,0.6,,1.577,,,4340.0,,322.49014540587,,,,,0.61,,,,,,,,10.25,7.984,,,6.7525486651180575,4.91,4.10492776887484,83.54539226882837,1,4,2,2.0,2
1,4,2,,,EPIC 228952747.01,,-2.342222,,,,,1.055785,,,,,,,,,,,0.59,,1.52,,,4315.0,,339.1095167063343,,,,,0.6812897738318553,,,,,,,,12.850999999999999,10.270999999999999,,,6.509357123912915,2.9260957908697622,2.3775298627603734,45.856985169543364,1,4,2,3.0,3
1,4,2,,,EPIC 215171927.01,,-24.782837,,,,,4.135707,,,,,,,,,,,0.76,,1.6,,,4972.0,,158.2036906516694,,,,,0.6970357154400503,,,,,,,,13.074000000000002,11.378,,,12.653201448785818,3.192702191958362,1.6207734687654753,14.664282180620813,1,4,2,0.0,0
1,4,2,,,K2-191 b,,-12.806567999999999,,,,,2.858646,,,,,,,,,,,0.84,,1.579,,,5176.0,,313.2286296693979,,,,,0.9,,,,,,,,13.258,11.607999999999999,,,9.745503861025428,3.1218,1.5116124532713737,12.590135599875397,1,4,2,0.0,0
1,4,2,,,EPIC 201111557.01,,-6.268236,,,,,2.302368,,,,,,,,,,,0.71,,1.3130000000000002,,,4720.0,,276.475504765721,,,,,0.580957743030629,,,,,,,,11.728,9.873,,,8.625855036851396,2.28141595402171,1.5896458538261868,4.505598937305364,1,4,2,0.0,0
1,4,2,,,K2-36 b,,3.866393,,,,,1.422614,,,,,,,,,,,0.72,,1.43,,,4916.0,,517.9402264942872,,,,,0.79,,,,,,,,11.8,10.033999999999999,,,6.836446430284133,3.9,2.599369610202789,3.596779235237638,1,4,2,0.0,0
1,4,2,,,K2-270 b,,13.549833,,,,,1.543069,,,,,,,,,,,0.77,,1.38,,,4877.0,,490.3438261598017,,,,,0.85,,,,,,,,13.782,11.968,,,6.915150607959345,2.4828,1.5338557588161088,1.797233930803179,1,4,2,0.0,0
1,4,3,,,K2-291 b,,21.54863,,,,,2.225177,,,,,,,,,,,0.9,,1.589,,,5520.0,,635.5278675827973,,,,,0.93,,,,,,,,10.014,8.765,,,7.7813928901224685,6.49,3.342348473227443,23.763364470334178,1,4,3,1.0,1
1,4,3,,,K2-58 c,,-14.049807999999999,,,,,2.53726,,,,,,,,,,,0.86,,1.62,,,5413.0,,463.8423096304388,,,,,0.89,,,,,,,,12.378,10.765,,,8.7586538252318,3.2608,1.6552350882347824,20.197558389803245,1,4,3,3.0,3
1,4,3,,,K2-138 b,,-10.849696,,,,,2.35322,,,,,,,,,,,0.86,,1.57,,,5378.0,,485.2617631346092,,,,,0.93,,,,,,,,12.21,10.755999999999998,,,8.452789379473742,3.0916,1.5627553935269962,19.6922380654803,1,4,3,2.0,2
1,4,3,,,Kepler-107 c,,48.208611,,,,,4.901452,,,,,,,,,,,1.45,,1.597,,,5854.0,,600.9902126244185,,,,,1.24,,,,,,,,12.7,11.392000000000001,,,8.999496746968601,9.39,3.068033292237863,1.889349508223513,1,4,3,0.0,0
1,5,2,,,K2-141 b,,-1.189274,,,,,0.2803244,,,,,,,,,,,0.68,,1.51,,,4599.0,,3313.7469989692754,,,,,0.71,,,,,,,,11.389000000000001,9.086,,,2.365449241399257,5.08,6.247721995313028,59.485544934330655,1,5,2,1.0,1
1,5,3,spoc,286132427.0,635.01,146.724705,-4.298086,8.07,0.018,1517.43594,0.001801,0.493379,7.7e-05,1.5,0.283602,194.341058,22.715282000000002,8,could be on TIC 286132422,4.46485,0.254775,1.0,1.00635,0.11295799999999999,1.503946,0.9449629999999999,2338.3980079999997,5914.0,191.0,7066.343281999999,8.047397,False,2019-04-23T16:40:29+00:00,2019-10-17 00:41:48.599394+00:00,1.076405600711012,578.0,286132427.0,146.72453000000004,-4.29824,5815.77,0.97901,1.05,8.69,7.511,7.217,7.18,2.6766558434594274,2.873751777696446,2.2181398151619653,118.43770253448942,1,5,3,1.0,1
1,5,3,spoc,377064495.0,561.02,148.18559,6.216373,9.495,0.017,1517.49812,0.0016940000000000002,0.446547,6.4e-05,1.3667690000000001,0.29138000000000003,289.999091,29.232874,8,USP,4.52526,0.28868,2.0,0.875368,0.11347,1.55421,1.522861,2103.695493,5391.0,185.0,4628.630447,9.071973,False,2019-04-13T04:39:13+00:00,2019-10-17 00:41:45.971148+00:00,0.9359856272729541,689.0,377064495.0,148.185152,6.216103,5440.0,0.840576,0.95,10.252,8.879,8.504,8.394,2.7481451862122594,3.0389316208608883,2.6617643247241713,78.27658645688916,1,5,3,2.0,2
1,5,3,,,EPIC 201595106.01,,1.96828,,,,,0.877183,,,,,,,,,,,0.93,,1.406,,,5705.0,,2637.3860546948795,,,,,0.9519052981653432,,,,,,,,11.797,10.588,,,4.080101175658477,2.562887158731646,1.7723688316247252,3.629270724265456,1,5,3,3.0,3
1,5,3,,,K2-201 b,,-23.131035,,,,,1.05979,,,,,,,,,,,0.88,,1.4,,,5507.0,,1584.357034351939,,,,,0.96,,,,,,,,12.809000000000001,10.652999999999999,,,4.905125376708953,2.5443,1.6427245236239008,3.444126291888618,1,5,3,0.0,0
1,5,3,,,Kepler-10 b,,50.241299,,,,,0.837491,,,,,,,,,,,1.06,,1.4809999999999999,,,5627.0,,3554.2904608086073,,,,,0.91,,,,,,,,10.94,9.889,,,3.4191949244020776,4.6085,3.335204472679216,2.699276920698281,1,5,3,0.0,0
1,5,3,,,K2-211 b,,1.704954,,,,,0.669558,,,,,,,,,,,0.82,,1.375,,,5221.0,,2172.5564826317577,,,,,0.88,,,,,,,,13.075,11.624,,,3.7650290907806045,2.4676,1.9676178908473894,2.681104591560627,1,5,3,0.0,0
1,5,3,,,K02324.01,,43.458134,,,,,1.204686597,,,,,,,,,,,1.0,,1.55,,,5780.0,,2026.81,,,,,1.0,,,,,,,,12.544,15.575999999999999,,,4.7659031713232265,3.0249508796205453,1.821143428673878,2.2273452808095806,1,5,3,0.0,0
1,5,3,,,K2-187 b,,23.1926,,,,,0.77392,,,,,,,,,,,0.92,,1.3,,,5484.0,,2554.1983099782606,,,,,0.98,,,,,,,,13.081,11.687000000000001,,,3.8310169496780433,2.2431,1.5862917979638058,2.0030176647209252,1,5,3,0.0,0
1,5,3,,,K01169.01,,47.469959,,,,,0.689210173,,,,,,,,,,,0.954,,1.32,,,5630.0,,3362.71,,,,,1.064,,,,,,,,13.661,12.103,,,3.5147608715871463,2.3021314768293974,1.601900960265789,1.6814889890682847,1,5,3,0.0,0
1,5,3,,,K03991.01,,47.486919,,,,,1.570592397,,,,,,,,,,,0.921,,1.37,,,5519.0,,1135.98,,,,,0.837,,,,,,,,13.647,11.901,,,5.819964628451127,2.4523327841874725,1.5216862591599751,1.5830763525347966,1,5,3,0.0,0
2,1,1,,,LHS 1140 b,,-15.271532,,,,,24.736959,,,,,,,,,,,0.21,,1.7269999999999999,,,3216.0,,0.4802057086372434,,,,,0.18,,,,,,,,14.18,9.612,,,96.08706072992872,6.98,4.813660976950952,58.481988848959105,2,1,1,2.0,2
2,1,1,,,K2-288 B b,,18.268902,,,,,31.393463,,,,,,,,,,,0.32,,1.9,,,3341.0,,0.6310235732930262,,,,,0.33,,,,,,,,13.868,10.545,,,90.4641792410497,4.276,1.8183012837669428,38.143175746559734,2,1,1,1.0,1
2,2,1,spoc,181804752.0,736.01,165.6915,-16.4062,13.508,0.059,1546.508996,0.0011560000000000001,4.990069999999999,0.00044400000000000006,1.150579,0.162682,17848.071663,1087.5365,9,,5.14315,0.410207,1.0,0.15,0.026,2.019085,0.426467,301.705315,2940.0,67.0,1.9581810000000002,17.659561,False,2019-06-06T16:40:58+00:00,2019-10-17 00:41:44.919807+00:00,0.11401457298691307,384.0,181804752.0,165.690484,-16.406444,2949.0,0.17143,0.14169,16.91,11.559,10.993,10.644,39.73706469577136,4.741516475433743,7.559481207718235,156.37560792342086,2,2,1,3.0,3
2,2,1,,,TOI 270 c,,-51.956233000000005,,,,,5.660172,,,,,,,,,,,0.38,,2.42,,,3386.0,,8.107186439016969,,,,,0.4,,,,,,,,12.62,9.099,,,25.923003298329288,6.4512,4.271441729335711,136.50175719680553,2,2,1,1.0,1
2,2,1,spoc,36724087.0,732.02,154.6464,-11.7167,10.534,0.058,1546.848329,0.0014089999999999999,12.254218,0.002019,1.361689,0.33205,3416.6624469999997,283.4698,9,,4.94957,0.423263,2.0,0.3,0.054,1.785398,0.730371,306.14327599999996,3329.0,72.0,2.075964,11.924323,False,2019-06-06T16:40:58+00:00,2019-10-17 00:41:48.764789+00:00,0.29203866627776565,72.0,36724087.0,154.644903,-11.717801,3331.0,0.374139,0.362023,13.14,9.007,8.439,8.204001,49.48175496597852,3.8468390376434396,2.428281848286167,109.49780240098123,2,2,1,2.0,2
2,2,1,,,TOI 270 d,,-51.956233000000005,,,,,11.38014,,,,,,,,,,,0.38,,2.13,,,3386.0,,3.194818511853844,,,,,0.4,,,,,,,,12.62,9.099,,,41.29498372183773,5.1928,2.7241410089608933,91.6144275755861,2,2,1,0.0,0
2,2,1,spoc,415969908.0,233.01,343.71,-18.9118,11.256,0.04,1365.263091,0.0028079999999999997,11.665865,0.0038829999999999997,2.010591,0.3316,2699.083486,292.65362999999996,2,,4.799119999999999,0.357198,1.0,0.464,0.071,2.5701560000000003,0.60497,388.10866400000003,3644.0,64.0,5.362093,9.514482000000001,False,2018-11-29T21:52:42+00:00,2019-10-17 00:41:47.938326+00:00,0.4940646801823313,742.0,415969908.0,343.708612,-18.912445,3568.0,0.380272,0.36905,13.342,9.943,9.33,9.091,36.89071578921563,7.146371077808825,3.2297920384738243,60.5525313657629,2,2,1,0.0,0
2,2,1,spoc,429358906.0,782.01,183.9211,-18.9102,12.191,0.04,1577.042852,0.002817,16.047204,0.0040030000000000005,1.709139,0.538583,4333.162901,548.9173599999999,10,Low SNR,4.9496400000000005,0.399131,1.0,0.301,0.051,2.003358,0.9825510000000001,280.141151,3331.0,63.0,1.455555,8.467292,False,2019-06-11T20:03:40+00:00,2019-10-17 00:41:50.481317+00:00,0.29403622481442926,757.0,429358906.0,183.920361,-18.910338,3320.0,0.406516,0.398817,14.83,10.675,10.108,9.86,59.16468115442671,4.678902547681424,2.6873702203740595,53.628743126749654,2,2,1,0.0,0
2,2,1,,,K2-18 b,,7.5883910000000006,,,,,32.939623,,,,,,,,,,,0.41,,2.37,,,3457.0,,1.0509290166604577,,,,,0.36,,,,,,,,13.495999999999999,9.763,,,75.05135806284794,8.92,3.522417495606457,35.203684441618705,2,2,1,0.0,0
2,2,1,,,K2-133 d,,25.010006,,,,,11.02454,,,,,,,,,,,0.46,,2.003,,,3655.0,,6.041071583640697,,,,,0.46,,,,,,,,14.288,11.084000000000001,,,34.99163692365303,4.6775,2.2592914892423126,27.131523880111896,2,2,1,0.0,0
2,2,1,,,K2-9 b,,0.005301,,,,,18.4498,,,,,,,,,,,0.31,,2.25,,,3390.0,,1.3587944938433252,,,,,0.3,,,,,,,,15.63,12.450999999999999,,,63.470072596026,5.6999,3.0834697782173626,25.499265931773554,2,2,1,0.0,0
2,2,1,,,K2-251 b,,-8.535919999999999,,,,,9.30075,,,,,,,,,,,0.49,,2.35,,,3717.0,,8.475608061868087,,,,,0.52,,,,,,,,15.620999999999999,12.341,,,30.552459516533656,6.1372,2.890985460148153,17.95420460694076,2,2,1,0.0,0
2,2,1,,,K2-150 b,,8.987539,,,,,10.59357,,,,,,,,,,,0.44,,2.0,,,3499.0,,4.895767280037758,,,,,0.46,,,,,,,,15.829,12.107000000000001,,,35.62246677259513,4.6656,2.283698069455772,17.531320381418055,2,2,1,0.0,0
2,2,2,,,GJ 143 b,,-63.4991,,,,,35.61253,,,,,,,,,,,0.69,,2.61,,,4640.0,,5.433993034422148,,,,,0.73,,,,,,,,7.87,6.081,,,59.4597269119088,22.7,5.4516360937197375,53.61169720608127,2,2,2,1.0,1
2,2,2,,,K2-17 b,,6.412261,,,,,17.96753,,,,,,,,,,,0.66,,2.23,,,4320.0,,9.474743004506111,,,,,0.71,,,,,,,,13.519,11.075999999999999,,,39.03284994360424,5.614,1.7252600531294184,17.020741377699597,2,2,2,2.0,2
2,2,2,,,K2-152 b,,-5.8274099999999995,,,,,32.6479,,,,,,,,,,,0.61,,2.29,,,4044.0,,3.0355557071013894,,,,,0.63,,,,,,,,13.728,10.956,,,60.429594223210984,5.8732,1.6018180767722563,16.39886694153996,2,2,2,3.0,3
2,2,3,,,K2-263 b,,15.680626,,,,,50.818947,,,,,,,,,,,0.85,,2.41,,,5368.0,,8.11770379859278,,,,,0.88,,,,,,,,11.606,10.216000000000001,,,65.1110804160932,14.8,2.787288334100102,7.024123913739479,2,2,3,1.0,1
2,3,1,spoc,35009898.0,654.01,164.7242,-5.5464,12.172,0.04,1543.435847,0.0018850000000000002,1.527419,0.000195,1.211359,0.399291,2889.180002,233.79655,9,low SNR in qlp; unknown GAIA DR2 radius,4.89676,0.43222299999999997,1.0,0.353,0.065,1.9082599999999998,1.223543,662.680892,3433.0,86.0,45.576271999999996,12.836975,False,2019-05-07T15:39:33+00:00,2019-10-17 00:41:44.362541+00:00,0.35804470684325324,68.0,35009898.0,164.724551,-5.547545,3424.0,0.427953,0.4226430000000001,14.54,10.744000000000002,10.139,9.918,11.230670058397893,4.307628777879544,4.7520159039576235,83.87865864957044,2,3,1,3.0,3
2,3,1,spoc,54962195.0,663.01,160.0665,-8.5107,11.672,0.04,1544.390641,0.0027890000000000002,2.5986540000000002,0.0005,1.618382,0.5309,1911.17085,202.56204,9,,4.76941,0.347691,1.0,0.502,0.075,2.224192,1.5941809999999998,669.63775,3719.0,64.0,47.520469,9.389264,False,2019-05-07T15:39:33+00:00,2019-10-17 00:41:50.340011+00:00,0.5400640653068858,122.0,54962195.0,160.065852,-8.511083,3664.0,0.512361,0.510139,13.667,10.448,9.828,9.607,12.907422062083894,5.589169832470909,3.9269148383988375,58.61706273407798,2,3,1,1.0,1
