radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
3,3,3,spoc,1279.01,2.726668,9.614679,5477,74.730572,749.884414,0,10.714,2.449015958,50.95617864,3908.836487,0.01303615,,,1279.01,224297258,T001279,VPC,passed,passed,yes,no,
3,3,2,spoc,1280.01,3.169424,9.703121,4665,36.373339,626.347778,0,11.5833,3.748133576,56.87427427,3716.384278,0.015303658,,,1280.01,230017324,T001280,PC,passed,passed,,,
3,4,3,spoc,1287.01,2.584434,9.602018,5891,193.103277,950.751809,0,9.16,2.079326128,52.7197739,1295.941843,0.040680663,,,1287.01,352764091,196603,PC,passed,,yes,yes,
2,3,2,spoc,1301.01,2.449728,6.096375,4820.4,69.863841,763,0,11.337,2.792669521,50.96257782,5335.702952,0.00955124,,,1301.01,356867115,T001301,PC,passed,passed,,,
3,3,3,spoc,1339.01,3.247601,8.880832,5555.7,99.065848,804.638372,0,8.97,3.394956452,131.5385194,408.0959815,0.322322506,2,1,1339.01,269701147,191939,CPC-,passed,passed,yes,yes,4
3,3,3,spoc,1339.02,3.067978,28.579356,5555.7,20.850938,545.005831,0,8.97,2.087501951,82.74272157,1079.38643,0.076657182,,5,1339.02,269701147,191939,PC,passed,passed,yes,yes,4
2,4,2,spoc,1346.02,1.979445,1.762233,4991.6,468.549066,1186.611407,0,11.693,2.789890839,47.19364824,7420.895438,0.006359562,,,1346.02,219852882,T001346,PC,passed,passed,,,
2,5,3,spoc,1347.01,2.10618,0.8475,5300,1876.471285,1678.630966,0,11.168,3.342172064,52.44132265,3188.402377,0.016447523,,,1347.01,229747848,T001347,PPC,passed,,,,
3,4,2,spoc,1410.01,2.943638,1.216835,4634.6,565.541505,1243.757952,0,11.111,6.752780606,117.9081893,741.0806162,0.159103054,1,2,1410.01,199444169,T001410,VPC,passed,passed,yes,,
2,4,2,spoc,1416.01,1.659544,1.06969,4946,945.862003,1414.414482,0,9.91,2.450081539,90.57711955,1862.385827,0.048634992,2,4,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,
