radius_bin,insol_bin,st_Teff_bin,Effective Stellar Flux Value,Effective Temperature Value,Full TOI ID,K_amp,Orbital Period Value,Planet Equilibrium Temperature (K) Value,Planet Radius Value,Source Pipeline,TSM,TSM_Vmag_priority,V mag,X,X_priority,mass_flag,t_HIRES
5.0,4.0,2.0,297.6643776,5185.0,HAT-P-3 b,89.2696493,2.8997,,10.536,,102.5467382,,11.577,15.7434088601988,3.0,1.0,6.5136298695291
5.0,4.0,2.0,342.3656116,5080.0,HD 221416 b,14.06931761,14.2767,,9.17,,98.73931368,,8.146,8.875757701063968,5.0,1.0,11.12460671027148
5.0,4.0,2.0,597.5903578,4400.0,WASP-43 b,558.1882767999999,0.813475,,10.424000000000001,,88.33122935,,12.4,248.45341076883287,2.0,1.0,0.35552431772484516
5.0,4.0,2.0,430.73448260000004,5200.0,WASP-144 b,78.34960291,2.2783152,,9.527999999999999,,69.39843105,,,,,1.0,
5.0,4.0,2.0,272.8021796,5150.0,WASP-23 b,148.1891101,2.9444256,,10.783,,63.005706599999996,,,,,1.0,
5.0,4.0,2.0,225.3458374,4985.0,HATS-7 b,18.50531882,3.185315,,6.311,,61.71210386,,13.34,0.08026621094556519,,1.0,768.8428684126103
5.0,4.0,2.0,218.985249,5170.0,Kepler-425 b,34.240615399999996,3.79701816,,10.962,,58.38373881,,14.97,0.05793543770385063,,1.0,1007.737942853577
5.0,4.0,3.0,433.74646219999994,6050.0,WASP-166 b,10.409773,5.4435400000000005,,7.062,,230.49749369999998,3.0,,,,1.0,
5.0,4.0,3.0,117.36947140000001,5310.0,WASP-139 b,13.91749838,5.924262000000001,,8.967,,203.31961950000002,,12.4,0.355525628862184,,1.0,571.8845646956577
5.0,4.0,3.0,182.18564709999998,5304.0,HATS-5 b,29.88506935,4.763387000000001,,10.222999999999999,,127.0302365,,12.63,0.8286762818268586,,1.0,153.2929556279268
5.0,4.0,3.0,795.7131879,5638.0,WASP-182 b,19.08012485,3.3769848,,9.527999999999999,,118.88803590000002,,,,,1.0,
5.0,4.0,3.0,233.1054835,5576.0,HD 89345 b,8.906972247999999,11.8143,,7.398,,114.07146829999999,,9.376,1.323751594358386,,1.0,86.17286565406535
5.0,4.0,3.0,204.4358884,5495.0,HATS-46 b,22.16330223,4.7423729,,10.122,,106.4066966,,13.634,0.1514283409980289,,1.0,702.6868015504778
5.0,4.0,3.0,223.1109196,5330.0,HAT-P-38 b,35.223048600000006,4.640382,,9.247,,86.47270599,,12.557,0.8381122717967016,,1.0,103.17556358484562
5.0,4.0,3.0,346.4691881,5600.0,WASP-56 b,69.13467507,4.6171,,10.536,,82.03575347,,11.484000000000002,8.229326426300878,3.0,1.0,9.968708156698492
5.0,4.0,3.0,213.0891341,5537.0,K2-261 b,18.80409722,11.63344,,9.527999999999999,,74.48819825,,10.612,1.2341322787720217,,1.0,60.35673771057731
5.0,4.0,3.0,506.94926569999996,5679.0,HATS-8 b,17.66045304,3.583893,,9.785,,65.64575372,,14.03,0.041188842337976574,,1.0,1593.7751583630668
5.0,4.0,3.0,642.8838836,5880.0,HATS-10 b,67.41693359,3.312846,,10.862,,43.29184295,,13.113,0.9211138884051984,,1.0,46.99944653419003
5.0,5.0,3.0,1311.969484,6179.0,HD 149026 b,43.06383292,2.87589,,8.295,,172.8713379,,8.15,145.0499631959125,1.0,1.0,1.1918054585543767
