,program,program_priority,overall_priority,pick,tic,SC1A,SC1B,SC1C,SC1D,SC1E,SC2A,SC2Bi,SC2Bii,SC2C,SC3,SC4,TOA,TOB,total_time
183,SC1B,24.0,39.0,1774.01,4897275.0,13.164,12.178,2.046,15.679,14.738,19.279,17.163,25.078,2.749,17.193,3.963,0.0,2.629,145.86
184,SC3,16.0,36.0,1776.01,21535395.0,13.373,12.386,2.046,15.679,14.947,19.332,17.163,25.286,2.749,15.964,3.963,0.0,2.972,145.86
185,SC2A,32.0,55.0,1772.01,85293053.0,13.373,12.386,2.046,15.679,14.947,16.867,17.163,25.286,2.749,15.964,3.963,0.0,2.972,143.395
186,SC3,17.0,34.0,1611.01,264678534.0,13.373,12.657,2.046,15.679,15.218,16.93,17.163,25.557,2.749,14.622,3.963,0.0,3.438,143.395
187,SC3,18.0,42.0,266.01,164767175.0,13.726,13.011,2.046,15.679,15.571,16.93,17.163,25.911,2.749,13.208,3.963,0.0,3.438,143.395
188,SC2A,33.0,56.0,1691.01,268334473.0,13.726,13.011,2.046,15.679,15.571,14.289,17.163,25.911,2.749,13.208,3.963,0.0,3.438,140.754
189,SC1E,29.0,39.0,1774.01,4897275.0,13.726,14.834,2.046,15.679,13.286,14.75,17.163,25.911,2.749,13.208,3.963,0.0,3.438,140.754
190,SC1E,30.0,46.0,1416.01,158025009.0,14.673,15.782,2.993,15.679,10.279,14.915,17.163,25.911,2.749,13.208,3.963,0.0,3.438,140.754
191,SC2Bii,25.0,39.0,1774.01,4897275.0,14.673,16.484,2.993,15.679,10.982,15.093,17.163,24.328,2.749,13.208,3.963,0.0,3.438,140.754
192,SC1B,25.0,45.0,238.01,9006668.0,16.732,12.366,5.052,15.679,10.982,15.093,17.163,24.328,2.749,13.208,3.963,0.0,3.438,140.754
193,SC2Bii,26.0,40.0,1799.01,8967242.0,17.119,12.753,5.052,15.679,11.368,15.184,17.163,22.441,2.749,13.208,3.963,0.0,4.073,140.754
194,SC2Bii,27.0,18.0,1263.01,406672232.0,17.472,13.105,5.405,15.679,11.721,15.258,17.163,20.373,2.749,13.208,3.963,0.0,4.656,140.754
195,SC2Bii,28.0,16.0,561.01,377064495.0,17.774,13.407,5.707,15.679,12.023,15.267,17.163,18.269,3.636,13.208,3.963,0.0,4.656,140.754
196,SC2A,34.0,57.0,1279.01,224297258.0,17.774,13.407,5.707,15.679,12.023,12.546,17.163,18.269,3.636,13.208,3.963,0.0,4.656,138.033
197,SC2Bii,29.0,58.0,664.01,55092869.0,17.774,13.407,5.707,15.679,12.023,12.546,17.163,15.869,3.636,13.208,3.963,0.0,4.656,135.633
198,SC2A,35.0,59.0,1669.01,428679607.0,17.774,13.407,5.707,15.679,12.023,9.77,17.163,15.869,3.636,13.208,3.963,0.0,4.656,132.856
199,SC2Bii,30.0,6.0,1487.01,459978312.0,17.774,13.407,5.707,15.679,12.023,9.77,17.163,13.461,3.636,13.208,6.372,0.0,4.656,132.856
200,SC1E,31.0,45.0,238.01,9006668.0,18.803,14.437,6.736,15.679,8.935,9.77,17.163,13.461,3.636,13.208,6.372,0.0,4.656,132.856
201,SC4,9.0,60.0,1552.01,326919774.0,18.803,14.437,6.736,15.679,8.935,9.77,17.163,13.461,3.636,13.208,1.222,0.0,4.656,127.706
202,TOB,18.0,39.0,1774.01,4897275.0,18.803,14.289,6.736,15.679,8.787,9.732,17.163,13.313,3.636,13.208,1.222,0.0,1.805,124.373
203,SC2A,36.0,61.0,1794.01,286916251.0,18.803,14.289,6.736,15.679,8.787,6.682,17.163,13.313,3.636,13.208,1.222,0.0,1.805,121.323
204,SC2A,37.0,62.0,1386.01,343019899.0,18.803,14.289,6.736,15.679,8.787,3.576,17.163,13.313,3.636,13.208,1.222,0.0,1.805,118.217
205,SC2C,6.0,38.0,1835.01,347332255.0,19.039,14.525,6.736,15.679,9.023,3.638,17.163,13.549,2.003,13.444,1.222,0.0,2.194,118.217
206,SC2Bii,31.0,46.0,1416.01,158025009.0,19.62,15.106,7.318,15.679,9.604,3.739,17.163,11.124,2.003,13.444,1.222,0.0,2.194,118.217
207,SC1B,26.0,7.0,1643.01,298647682.0,19.62,10.675,7.318,19.378,9.604,4.472,17.163,11.124,2.003,13.444,1.222,0.0,2.194,118.217
208,SC3,19.0,58.0,664.01,55092869.0,19.62,10.675,7.318,19.378,9.604,4.472,17.163,12.324,2.003,12.244,1.222,0.0,2.194,118.217
209,SC1A,18.0,63.0,1659.01,288631580.0,4.81,10.675,7.318,19.378,9.604,4.472,17.163,12.324,2.003,12.244,1.222,0.0,2.194,103.407
210,SC2A,38.0,64.0,1648.01,376353509.0,4.81,10.675,7.318,19.378,9.604,1.305,17.163,12.324,2.003,12.244,1.222,0.0,2.194,100.24
211,SC1B,27.0,65.0,469.01,33692729.0,4.81,5.851,7.318,19.378,9.604,1.305,17.163,12.324,2.003,12.244,1.222,0.0,2.194,95.416
212,SC3,20.0,39.0,1774.01,4897275.0,4.81,6.144,7.318,19.378,9.897,1.38,17.163,12.617,2.003,10.807,1.222,0.0,2.677,95.416
213,SC2Bii,32.0,65.0,469.01,33692729.0,4.81,8.556,7.318,19.378,9.897,1.38,17.163,10.206,2.003,10.807,1.222,0.0,2.677,95.416
214,SC2Bii,33.0,19.0,680.01,335499997.0,4.81,8.556,8.128,19.378,10.707,1.38,17.163,7.776,2.003,10.807,2.032,0.0,2.677,95.416
215,SC3,21.0,65.0,469.01,33692729.0,4.81,9.36,8.128,19.378,10.707,1.38,17.163,8.58,2.003,9.199,2.032,0.0,2.677,95.416
216,SC1D,2.0,62.0,1386.01,343019899.0,4.81,9.36,8.128,2.56,10.707,1.806,17.163,8.58,2.003,9.199,2.032,0.0,2.677,79.026
217,SC2Bii,34.0,45.0,238.01,9006668.0,5.428,9.978,8.745,2.56,11.325,1.806,17.163,6.109,2.003,9.199,2.032,0.0,2.677,79.026
218,SC2Bii,35.0,33.0,1684.01,85031598.0,5.428,9.978,8.745,2.56,11.325,1.806,17.163,3.575,2.003,9.199,4.565,0.0,2.677,79.026
219,SC1E,32.0,65.0,469.01,33692729.0,5.428,10.38,8.745,2.56,10.119,1.806,17.163,3.977,2.003,9.601,4.565,0.0,2.677,79.026
221,SC1B,29.0,23.0,261.01,63898957.0,5.428,0.447,13.714,2.56,10.119,2.095,17.163,3.977,2.003,9.601,4.565,0.0,2.677,74.351
222,SC1E,33.0,44.0,1742.01,219857012.0,5.428,2.662,13.714,2.56,7.37,2.629,17.163,3.977,2.003,9.601,4.565,0.0,2.677,74.351
223,SC2Bii,36.0,44.0,1742.01,219857012.0,5.428,3.51,13.714,2.56,8.218,2.834,17.163,2.077,2.003,9.601,4.565,0.0,2.677,74.351
224,SC3,22.0,44.0,1742.01,219857012.0,5.428,3.958,13.714,2.56,8.666,2.942,17.163,2.525,2.003,8.148,4.565,0.0,2.677,74.351
220,SC1B,28.0,44.0,1742.01,219857012.0,5.428,5.416,8.745,2.56,10.119,2.095,17.163,3.977,2.003,9.601,4.565,0.0,2.677,74.351
225,SC1E,34.0,7.0,1643.01,298647682.0,5.428,5.344,13.714,3.946,5.62,3.217,17.163,2.525,2.003,8.148,4.565,0.0,2.677,74.351
226,SC3,23.0,40.0,1799.01,8967242.0,5.702,5.618,13.714,3.946,5.895,3.282,17.163,2.799,2.003,6.536,4.565,0.0,3.128,74.351
227,SC2Bii,37.0,7.0,1643.01,298647682.0,5.702,6.344,13.714,4.672,6.62,3.425,17.163,0.478,2.003,6.536,4.565,0.0,3.128,74.351
228,SC1B,30.0,32.0,1548.01,440100539.0,5.702,1.194,13.714,4.672,6.62,3.512,17.163,0.478,2.003,6.536,4.565,0.0,3.128,69.287
229,SC3,24.0,18.0,1263.01,406672232.0,5.965,1.457,13.977,4.672,6.883,3.566,17.163,0.742,2.003,4.731,4.565,0.0,3.563,69.287
230,SC1E,35.0,32.0,1548.01,440100539.0,5.965,3.875,13.977,4.672,4.152,3.88,17.163,0.742,2.003,4.731,4.565,0.0,3.563,69.287
231,SC1E,36.0,23.0,261.01,63898957.0,5.965,5.532,15.633,4.672,0.839,3.88,17.163,0.742,2.003,4.731,4.565,0.0,3.563,69.287
232,SC1C,12.0,59.0,1669.01,428679607.0,5.965,5.532,1.434,4.672,0.839,4.278,17.163,0.742,2.003,4.731,4.565,0.0,3.563,55.486
233,SC2A,39.0,66.0,1411.01,116483514.0,5.965,5.532,1.434,4.672,0.839,1.05,17.163,0.742,2.003,4.731,4.565,0.0,3.563,52.258
234,SC3,25.0,32.0,1548.01,440100539.0,5.965,6.404,1.434,4.672,1.712,1.163,17.163,0.742,2.003,2.872,4.565,0.0,3.563,52.258
235,TOB,19.0,44.0,1742.01,219857012.0,5.965,6.127,1.434,4.672,1.435,1.096,17.163,0.464,2.003,2.595,4.565,0.0,0.699,48.219
237,,,,,,,,,,,,,,,,,,,48.219
238,SC2C,7.0,67.0,402.01,120896927.0,,,,,,,,,,,,,,40.917
239,SC2Bii,38.0,68.0,1456.01,199376584.0,,,,,,,,,,,,,,36.627
240,SC1D,3.0,69.0,1859.01,229742722.0,,,,,,,,,,,,,,18.167
241,SC1A,19.0,70.0,1436.01,154383539.0,,,,,,,,,,,,,,-2.0
