radius_bin,insol_bin,st_Teff_bin,Source Pipeline,TIC,Full TOI ID,TIC Right Ascension,TIC Declination,TMag Value,TMag Uncertainty,Orbital Epoch Value,Orbital Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,Alerted,Updated,Stellar Mass,Target,RA,Dec,V mag,J mag,H mag,K mag,Ars,pl_masses,K_amp,TSM,radius_bin,insol_bin,st_Teff_bin,priority,highestp
1,2,2,,,Kepler-62 e,,45.349865,,,,,122.3874,,,,,,,,,,,0.64,,1.61,,,4925.0,,1.1879674276366514,,,,,0.69,,,,,12.255999999999998,,,143.27047176360517,36.0,5.948508061702457,0.3671120297878163,1,2,2,1.0,1
1,2,3,,,Kepler-409 b,,46.852764,,,,,68.9584,,,,,,,,,,,0.89,,1.19,,,5460.0,,6.1556953116762125,,,,,0.92,,,,,8.2,,,77.35585942558208,22.0,3.6331688972617666,0.18476632812756522,1,2,3,1.0,1
1,3,1,,,LHS 3844 b,,-69.168986,,,,,0.46292913,,,,,,,,,,,0.19,,1.3030000000000002,,,3036.0,,70.95811494111821,,,,,0.15,,,,15.26,10.046,,,7.044480762432862,2.252,6.605715937686038,40.94242250412242,1,3,1,3.0,3
1,3,1,,,EPIC 212081533.01,,21.668695,,,,,3.355854,,,,,,,,,,,0.55,,1.6,,,3860.0,,45.026655284111875,,,,,0.5785664231158542,,,,13.444,10.495999999999999,,,14.295068916481073,3.192702191958362,1.9674593022745095,30.69911698397491,1,3,1,2.0,2
1,3,1,,,GJ 357 b,,-21.660797,,,,,3.93072,,,,,,,,,,,0.34,,1.217,,,3505.0,,13.504001738062446,,,,,0.34,,,,10.92,7.337000000000001,,,21.522429298673355,1.84,1.5331748714812619,29.320883886830114,1,3,1,1.0,1
1,3,1,,,Kepler-446 b,,44.921102000000005,,,,,1.565409,,,,,,,,,,,0.24,,1.5,,,3359.0,,25.892754937908418,,,,,0.22,,,,,13.591,,,14.275041024282993,2.8609,4.331072618187562,28.330404791944932,1,3,1,0.0,0
1,3,1,spoc,36724087.0,732.01,154.6464,-11.7167,10.534,0.057999999999999996,1543.91148,0.001189,0.768418,6.7e-05,0.816472,0.266768,1252.849899,105.63316,9,,4.94957,0.423263,1.0,0.3,0.054000000000000006,1.134371,0.5733229999999999,770.585234,3329.0,72.0,83.330451,11.443317,False,2019-06-06 16:40:58+0000,2019-06-06 16:40:58+0000,0.29203866627776565,36724087.0,154.644903,-11.717801,13.14,9.007,8.439,8.204001,7.8100361839768615,1.5261604950211944,2.424885913180149,26.8688144524825,1,3,1,0.0,0
1,3,1,,,L 98-59 c,,-68.313,,,,,3.690621,,,,,,,,,,,0.31,,1.35,,,3367.0,,11.05834437451328,,,,,0.31,,,,,7.933,,,21.947631781882865,2.3918,2.164550719440051,26.775706758971065,1,3,1,0.0,0
1,3,1,,,K2-133 c,,25.010006,,,,,4.86784,,,,,,,,,,,0.46,,1.6030000000000002,,,3655.0,,17.967165100874894,,,,,0.46,,,,14.288,11.084000000000001,,,20.289973093626426,3.2029,2.03162357517205,26.6712713124459,1,3,1,0.0,0
1,3,1,spoc,181804752.0,736.02,165.6915,-16.4062,13.508,0.059000000000000004,1543.557852,0.0017460000000000002,0.947973,0.00011599999999999999,0.546439,0.477087,4555.5499039999995,710.959,9,low SNR,5.14315,0.410207,2.0,0.15,0.026000000000000002,1.037152,1.150304,524.8313860000001,2940.0,67.0,17.930822,7.734158,False,2019-06-06 16:40:58+0000,2019-06-06 16:40:58+0000,0.11401457298691307,181804752.0,165.690484,-16.406444,16.91,11.559000000000001,10.993,10.644,13.131731778995057,1.1073699126717294,3.071173397587999,23.805478841575805,1,3,1,0.0,0
1,3,1,spoc,396562848.0,1640.01,44.32608,76.553125,11.0548,0.007275,1792.604851,0.0009310000000000001,1.9493939999999998,0.000146,0.686409,0.285491,2697.2892309999997,222.51402000000002,18,Level one candidate; centroid offset,4.972919999999999,0.011628,1.0,0.260187,0.007843000000000001,1.365212,1.0475290000000002,560.796784,3414.0,157.0,23.374539000000002,8.174965,,2020-01-14 19:46:38+0000,2020-01-14 19:46:38+0000,0.23180299035264776,396562848.0,44.338874,76.551405,13.304,9.615,9.027999999999999,8.767000000000001,15.508971455291059,2.437780533932633,3.3128305626184216,21.441004129973667,1,3,1,0.0,0
1,3,1,,,LP 791-18 b,,-16.406192,,,,,0.948005,,,,,,,,,,,0.17,,1.12,,,2960.0,,20.666478340015352,,,,,0.14,,,,16.9,11.559000000000001,,,12.407853906286098,1.4581,3.526540918510223,18.35907913433455,1,3,1,0.0,0
1,3,1,,,Kepler-974 b,,40.220753,,,,,4.19449651,,,,,,,,,,,0.5,,1.57,,,3687.0,,24.703502434055473,,,,,0.52,,,,,11.950999999999999,,,17.608140598156044,3.0916,1.89905834375623,15.960540191689502,1,3,1,0.0,0
1,3,1,spoc,243185500.0,1468.02,16.654062,19.225878,10.8858,0.007542,1765.6787760000002,0.001847,1.880305,0.000266,1.055416,0.550014,1529.822108,180.69878,17,Centroid offset; but not towards a particular star; possible multi,4.85532,0.0010869999999999999,2.0,0.36930599999999997,0.010922,1.452351,1.925641,623.576148,3382.0,157.0,35.733782,9.774991,,2019-12-05 16:42:06+0000,2019-12-05 16:42:06+0000,0.35622186580826726,243185500.0,16.653872,19.224919,12.5,9.343,8.782,8.497,12.309351988156335,2.7081713519844066,2.797071106960732,14.536521955808004,1,3,1,0.0,0
1,3,1,spoc,27649847.0,521.01,123.3438,12.2217,12.429,0.168,1492.722769,0.00257,1.542131,0.000295,1.112434,0.28130900000000003,2384.3998920000004,289.33447,7,Small star; marginal transit,4.97486,0.43607399999999996,1.0,0.268,0.047,1.449216,0.393694,613.364239,3439.0,69.0,33.449899,8.542186000000001,False,2019-03-22 22:54:00+0000,2019-03-22 22:54:00+0000,0.24703440068838525,27649847.0,123.34425700000001,12.222108,14.690999999999999,10.921,10.357000000000001,10.089,13.155106190603664,2.698241044094161,3.8000199986685907,13.09099413115445,1,3,1,0.0,0
1,3,1,spoc,353475866.0,1693.01,90.308465,34.773167,10.6714,0.007453,1817.6831489999997,0.0022489999999999997,1.7668810000000001,0.000295,1.301748,0.6433979999999999,1005.84075,122.96791,19,centroid offset; check nearby stars,4.77152,0.006618000000000001,1.0,0.46126000000000006,0.013724,1.4785469999999998,2.184288,700.829873,3474.0,157.0,57.012676,9.257097,,2020-01-30 21:16:42+0000,2020-01-25 01:12:02+0000,0.4581834903410325,353475866.0,90.30834499999999,34.77309,12.962,9.192,8.533,8.331,10.282563023210788,2.791734852589155,2.4890252050312243,11.490988042536353,1,3,1,0.0,0
1,3,1,,,TOI 270 b,,-51.956233000000005,,,,,3.36008,,,,,,,,,,,0.38,,1.247,,,3386.0,,16.249631192469227,,,,,0.4,,,,12.62,9.099,,,18.31043412162858,2.0899,1.6464662129914107,10.343866279787362,1,3,1,0.0,0
1,3,1,,,K2-91 b,,24.205112,,,,,1.419549,,,,,,,,,,,0.28,,1.1,,,3622.0,,45.15217220530415,,,,,0.29,,,,15.572000000000001,11.433,,,12.569096354989956,1.367,1.7784305239462674,8.811066916415907,1,3,1,0.0,0
1,3,1,,,Kepler-32 e,,46.574281,,,,,2.896,,,,,,,,,,,0.53,,1.5,,,3900.0,,52.94538119331059,,,,,0.58,,,,16.452,13.616,,,13.45741551874718,2.8609,1.8487081109818317,6.867299345826153,1,3,1,0.0,0
1,3,1,,,K2-151 b,,9.501381,,,,,3.835476,,,,,,,,,,,0.45,,1.49,,,3695.0,,24.327259343935143,,,,,0.47,,,,14.14,10.93,,,17.82086502080099,2.8286,1.9149189298135858,4.4253833355056065,1,3,1,0.0,0
1,3,1,,,K2-133 b,,25.010006,,,,,3.07133,,,,,,,,,,,0.46,,1.34,,,3655.0,,33.201622663760375,,,,,0.46,,,,14.288,11.084000000000001,,,14.925936706116039,2.3617,1.7466043266658744,3.714746555946093,1,3,1,0.0,0
1,3,1,,,Kepler-446 c,,44.921102000000005,,,,,3.036179,,,,,,,,,,,0.24,,1.11,,,3359.0,,10.70480761578632,,,,,0.22,,,,,13.591,,,22.201231335290373,1.412,1.7140663770757514,3.081568542718452,1,3,1,0.0,0
1,3,1,,,Kepler-1319 b,,49.366306,,,,,2.88676265,,,,,,,,,,,0.54,,1.34,,,3655.0,,43.587795826726044,,,,,0.56,,,,,11.57,,,13.026831523853724,2.3617,1.563914007550285,2.306793569286455,1,3,1,0.0,0
1,3,1,,,Kepler-617 b,,47.516293,,,,,1.68269615,,,,,,,,,,,0.48,,1.32,,,3712.0,,80.08686201400725,,,,,0.51,,,,,12.437000000000001,,,9.912467678682088,2.3021,1.9423434149574805,2.2359949201809672,1,3,1,0.0,0
1,3,1,,,Kepler-1124 b,,37.891265999999995,,,,,2.85234897,,,,,,,,,,,0.34,,1.28,,,3658.0,,24.0982246971659,,,,,0.35,,,,,13.671,,,17.54855516795468,2.1848,1.9870827596167893,1.7964784392895077,1,3,1,0.0,0
1,3,2,,,HD 219134 c,,57.168354,,,,,6.76458,,,,,,,,,,,0.78,,1.511,,,4699.0,,62.41196282246517,,,,,0.81,,,,5.57,3.9810000000000003,,,17.99382354544934,4.36,1.6995477910743408,205.21871411488715,1,3,2,1.0,1
1,3,2,,,Kepler-80 e,,39.978778999999996,,,,,4.64489,,,,,,,,,,,0.68,,1.6,,,4540.0,,73.12963457836366,,,,,0.73,,,,,12.954,,,15.517133332947818,4.13,1.9558108490515167,5.650641114394285,1,3,2,3.0,3
1,3,2,,,K2-83 b,,15.558886,,,,,2.74697,,,,,,,,,,,0.42,,1.244,,,3910.0,,40.88909967668503,,,,,0.48,,,,14.514000000000001,11.599,,,15.39204160385028,2.0814,1.5529611942654145,3.361818449728564,1,3,2,2.0,2
1,3,2,,,Kepler-99 b,,41.300049,,,,,4.60358,,,,,,,,,,,0.73,,1.48,,,4782.0,,99.59548975337981,,,,,0.79,,,,,11.368,,,14.751826489937644,6.15,2.771249793983474,0.8812306365568705,1,3,2,0.0,0
1,3,2,,,Kepler-62 b,,45.349865,,,,,5.714932,,,,,,,,,,,0.64,,1.31,,,4925.0,,70.64889741215572,,,,,0.69,,,,,12.255999999999998,,,18.57831248094154,9.0,4.129745389508541,0.3312479016752123,1,3,2,0.0,0
1,3,2,,,Kepler-57 c,,44.65704,,,,,11.6092567,,,,,,,,,,,0.73,,1.55,,,5145.0,,37.62102355704036,,,,,0.83,,,,,13.437000000000001,,,27.78445883821134,2208.83,707.5534881362539,0.005651022510218853,1,3,2,0.0,0
1,4,1,spoc,235683377.0,1442.01,287.290805,74.17228399999999,12.4934,0.007476999999999999,1683.4530100000002,0.000759,0.409056,1.1e-05,0.67653,0.321681,1270.765915,140.41713000000001,14 15 16,ExoFOP follow-up in progress ,4.916119999999999,0.004654,1.0,0.308799,0.00923,1.1091030000000002,1.417549,967.4520560000001,3328.0,157.0,207.032635,11.387332,,2019-11-14 17:07:15+0000,2019-11-14 17:07:15+0000,0.2864835023840099,235683377.0,287.292101,74.174276,15.39,10.925,10.332,10.089,4.951935670793611,1.407914316680766,2.7957569181449453,13.335891945378599,1,4,1,3.0,3
1,4,1,spoc,28900646.0,1685.01,68.59373000000001,43.037414,11.1117,0.007265000000000001,1816.225016,0.0015019999999999999,0.6691739999999999,7.3e-05,0.912603,0.515055,998.3309929999999,121.64425,19,potential L1 candidate,4.7705,0.006634999999999999,1.0,0.462408,0.013731,1.468637,2.622648,964.69068,3457.0,157.0,204.679022,9.813819,,2020-01-30 21:16:42+0000,2020-01-25 01:12:02+0000,0.4593868138401449,28900646.0,68.593953,43.037040000000005,13.378,9.616,9.005,8.758,5.373897400570926,2.759999675765211,3.3951646875216146,12.834441780944262,1,4,1,2.0,2
1,4,1,spoc,153951307.0,1238.02,201.382398,68.83626600000001,11.2582,0.007343000000000001,1684.102793,0.002224,0.764601,6.4e-05,1.018512,0.5298689999999999,413.166292,62.31043199999999,14 15,possible L1 candidate in multi system; SNR=7.4,4.63168,0.010987,2.0,0.62326,0.018213,1.280385,3.4653739999999997,1140.074452,3853.0,157.0,399.25821,7.62785,,2019-11-15 23:57:09+0000,2019-11-15 23:57:09+0000,0.6062424703530559,153951307.0,201.382339,68.83606800000001,12.796,10.039,9.347999999999999,9.184,4.779677567661063,2.1859157632315322,2.1378377752721374,5.748944449793475,1,4,1,1.0,1
1,4,1,,,K2-147 b,,-28.497833,,,,,0.961917,,,,,,,,,,,0.55,,1.38,,,3672.0,,194.7908672424409,,,,,0.58,,,,14.019,10.835,,,6.21967278644949,2.4828,2.3166533747966,4.712242701999268,1,4,1,0.0,0
1,4,1,,,Kepler-732 c,,45.958771,,,,,0.89304124,,,,,,,,,,,0.46,,1.27,,,3631.0,,160.95182442793782,,,,,0.49,,,,,12.595999999999998,,,6.6903838233641535,2.1559,2.307408942215793,2.5621598548227986,1,4,1,0.0,0
1,4,2,,,HD 219134 b,,57.168354,,,,,3.092926,,,,,,,,,,,0.78,,1.6019999999999999,,,4699.0,,177.18607382272282,,,,,0.81,,,,5.57,3.9810000000000003,,,10.679295048284052,4.74,2.398367164714751,292.0180441092127,1,4,2,1.0,1
1,4,2,,,GJ 9827 b,,-1.286273,,,,,1.2089819,,,,,,,,,,,0.6,,1.577,,,4340.0,,322.49014540587,,,,,0.61,,,,10.25,7.984,,,6.7525486651180575,4.91,4.10492776887484,83.54539226882837,1,4,2,2.0,2
