Target,RA,Dec,V mag,J mag,H mag,K mag
69747919,336.576123,-18.011665,8.24,7.202000000000001,6.974,6.8870000000000005
69997672,294.824079,31.958037,9.56,8.556000000000001,8.361,8.311
72985822,189.297113,-42.413637,12.762,11.662,11.399000000000001,11.333
73228647,190.036564,-44.312078,10.09,8.902999999999999,8.594,8.502
73649615,192.103738,-45.470471,14.607000000000001,11.138,10.517000000000001,10.274000000000001
73717937,192.18956799999998,-47.613679,12.402000000000001,11.082,10.837,10.698
73723286,155.637125,-40.516346999999996,9.756,8.499,8.193,8.093
74482749,137.518351,-43.924957,9.247,8.827,8.777000000000001,8.728
74534430,137.67281499999999,-45.098845000000004,11.002,8.757,8.146,8.044
77156829,68.178987,-39.790874,12.6,9.020000999999999,8.501,8.264
78154865,147.86736000000002,-4.123323,9.475,8.419,8.151,8.085
79748331,296.003935,-47.56203,10.937999999999999,9.097000000000001,8.628,8.467
80166433,298.287708,-46.369991,8.181000000000001,7.837999999999999,7.801,7.771
80275202,121.526219,-44.375085,10.602,10.134,10.119,10.039
81419525,123.108274,-46.109140000000004,9.54,9.398,9.375,9.332
82128636,124.110352,-46.429818,9.247,8.36,8.152999999999999,8.091000000000001
82362447,124.250133,-47.651953999999996,17.2,13.937999999999999,13.382,13.168
83092282,125.305054,-46.484296,8.995,8.107999999999999,7.928,7.858
83210867,297.459433,34.829667,10.527000000000001,9.357999999999999,9.066,8.998
89643259,301.41087999999996,33.049205,10.568,10.036,9.937000000000001,9.892999999999999
89759617,301.564685,35.588396,10.645999999999999,10.134,10.091000000000001,10.061
90448944,128.30231899999998,-52.714202,10.017000000000001,8.97,8.707,8.591000000000001
90504905,290.57223,26.319492999999998,16.27,12.174000000000001,11.565999999999999,11.328
90544017,128.454638,-49.940346999999996,8.812999999999999,8.493,8.472000000000001,8.45
91576611,284.157959,-29.398357,9.113999999999999,8.4,8.316,8.232999999999999
92226327,11.248632,-15.274109,14.15,9.612001,9.092,8.821
92677094,293.26832,15.736135999999998,11.079,9.82,9.592,9.517000000000001
92783821,303.017318,35.524628,10.527000000000001,9.81,9.765,9.698
93963408,115.046333,-9.084269,10.09,9.957,9.994,9.96
97158538,105.945472,-30.726357,9.115,8.38,8.267000000000001,8.168
99869022,166.880658,61.352571999999995,11.093,9.83,9.542,9.466000000000001
100990000,54.819538,-42.763028000000006,8.270000999999999,7.25,7.04,6.981
101011575,129.688303,-13.256526999999998,9.67,7.649,7.0920000000000005,6.9479999999999995
101230735,299.290995,-48.934476000000004,10.342,9.102,8.789,8.735
101395259,148.720293,-23.332117999999998,10.706,9.765,9.538,9.501
101929303,299.273862,35.988359,10.568,10.001,9.934,9.862001
101955023,153.70907,-47.154936,13.68,9.245,8.666,8.322000000000001
102195674,154.19174099999998,-42.559071,11.686,10.796,10.532,10.462
102840239,155.871938,-43.834925,10.217,8.531,8.066,7.999
103633434,152.218255,69.27662,11.495,8.711,8.074,7.893
104024556,196.043793,-35.549529,10.517000000000001,9.929,9.827,9.76
106402532,159.40931799999998,-40.888259000000005,9.44,8.22,7.943,7.845
110428269,291.463084,25.189436999999998,8.98,8.679,8.699,8.658999999999999
111991770,208.928011,-32.159712,10.972000000000001,9.956,9.713,9.693
113553629,113.424039,-30.996053999999997,10.602,9.684,9.496,9.422
116483514,232.94604700000002,47.055551,10.51,7.997999999999999,7.372000000000001,7.25
116483734,233.065833,47.860746,12.343,9.908999999999999,9.277999999999999,9.152000000000001
118021229,128.47509399999998,-20.940645999999997,10.535,9.263,8.872,8.774
119081096,136.238912,-18.502674,14.128,11.184000000000001,10.572000000000001,10.365
119700084,333.253171,37.627573999999996,10.849,9.415,9.059,8.96
120247528,280.184169,-58.459388,12.219000000000001,10.912,10.562000000000001,10.526
120602501,337.686813,40.003763,9.112001,7.859,7.55,7.485
120757718,286.04087599999997,36.632536,11.424000000000001,10.294,9.887,9.818999999999999
120896927,36.867885,-27.636117,9.1,7.553,7.215,7.044
120960812,286.638391,39.487904,10.769,9.764,9.532,9.493
122220263,290.02096,36.637774,9.546,8.533999999999999,8.307,8.275
122262940,133.238613,-57.940622999999995,10.731,9.783,9.567,9.514
124543547,104.480707,-9.924849,10.827,9.829001,9.503,9.432
124573851,158.900701,-5.181374,10.606,9.557,9.215,9.134
125405602,209.615851,-23.277572,13.243,9.851,9.191,8.96
125442121,351.579721,38.55294,11.284,10.575,10.436,10.398
126733133,136.955524,-51.867213,10.397,9.424,9.118,9.055
127530399,217.6092,-46.159515999999996,11.937999999999999,10.257,9.745,9.674
128463355,118.05958400000002,-29.714071999999998,10.511,9.583,9.385,9.235
128501004,339.03342000000004,37.841042,10.298,9.146,8.824,8.751
128790976,300.212928,-43.982529,7.66,6.794,6.629,6.532
129319156,228.84306,-52.885989,10.662,10.133,10.106,10.056000000000001
129539786,343.953614,39.645117,9.713,8.732000000000001,8.496,8.465
129637892,321.11498,-37.850181,9.557,8.533999999999999,8.337,8.281
130415266,104.74986,-47.023365999999996,7.28,7.245,7.3260000000000005,7.278
130924120,187.994843,-35.554452000000005,9.743,8.35,7.976,7.874
131081852,189.76217,-31.992265999999997,10.434000000000001,9.357000000000001,9.073,8.937000000000001
131419878,118.037196,-37.799015999999995,9.283999999999999,8.275,8.061,8.019
131743355,118.476378,-39.992999,9.397,9.219,9.201,9.174
131979339,118.913661,-37.857713000000004,8.333,7.974,7.922999999999999,7.931
136274063,230.498827,-53.819601,10.286,9.531,9.382,9.363999999999999
