radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank
2,2,1,spoc,1801.01,2.170286,21.284406,3815,3.760847,355.174002,0,11.58,1.866616632,58.37762823,14938.96368,0.003907743,,3,1801.01,119584412,HIP57099,PC,do observe,,,,
2,3,2,spoc,260.01,1.637881,13.470018,4111,11.13865,465.937745,0,9.9,1.199958087,71.23545196,7693.050436,0.009259715,,3,260.01,37749396,HIP1532,CPC,passed,passed,,,
2,3,3,spoc,1777.01,2.332202,14.653199,5859.45,71.507681,741.665236,0,9.31,1.526267125,52.43246583,2761.656339,0.018985876,2,3,1777.01,29191624,87620,PC,do observe,,,,
2,4,3,spoc,1473.01,2.49336,5.255294,5958,299.625751,1061.120081,0,8.844,2.362245073,97.25843389,750.5520752,0.129582526,,3,1473.01,352413427,6061,PC,passed,,yes,yes,
3,3,2,spoc,1255.01,2.70278,10.288882,5126,59.759255,709.122136,0,9.92,2.536462078,69.48519866,1753.77545,0.039620351,,3,1255.01,237222864,HIP97166,PC,do observe,passed,,,
3,3,3,spoc,1835.02,2.539899,9.6,5297,48.400623,672.717133,0,8.419,2.249125487,151.2595817,559.7619321,0.270221273,2,3,1835.02,347332255,110067,PC,do observe,,,,
3,4,3,spoc,1797.01,3.213549,3.645428,5922,535.519147,1226.912244,0,9.182,4.132585631,118.4136733,334.801204,0.353683535,3,3,1797.01,368435330,93963,PC,do observe,,,,
4,3,3,spoc,1136.03,4.037327,26.321864,5729,30.94004,601.519853,0,9.534,3.25549507,71.37382049,746.0993296,0.095662625,,3,1136.03,142276270,T001136,PC,passed,passed,yes,yes,
4,4,2,spoc,1694.01,5.480027,3.77013,5058,195.28817,953.419593,0,11.446,11.92651542,116.0485018,323.4473415,0.358786383,,3,1694.01,396740648,T001694,VPC,passed,,,,
2,3,2,spoc,1739.01,2.145596,8.303966,4814,53.680997,690.358843,0,10.692,1.963715751,46.83587647,5957.629436,0.007861495,,4,1739.01,159418353,T001739,PC,passed,,,,
2,3,3,spoc,1742.01,2.196405,21.272109,5707,55.704942,696.775997,0,8.863,1.248851933,40.94231268,2732.806192,0.014981784,,4,1742.01,219857012,156141,PC,passed,,,yes,
2,4,2,spoc,1466.01,2.491658,1.871529,4201,233.936214,997.456843,0,12.189,4.650963186,56.8963303,4216.430343,0.013493957,,4,1466.01,237086564,T001466,PC,passed,,,,
2,4,3,spoc,1835.01,1.824584,5.64196,5297,119.417118,843.114185,0,8.419,1.530211175,117.4685509,1209.283132,0.097138997,,4,1835.01,347332255,110067,PC,do observe,,,,
2,5,3,spoc,1347.01,2.058949,0.847366,5300,1876.296218,1678.591812,0,11.168,3.438757658,55.83375951,3011.810152,0.018538273,,4,1347.01,229747848,T001347,PPC,passed,,,,
3,3,3,spoc,469.01,3.685246,13.632935,6114,89.071512,783.527882,0,9.49,3.216821399,104.2398722,733.798527,0.142055167,,4,469.01,33692729,42813,VPC,passed,passed,yes,no - too low dec,
4,3,2,spoc,1803.01,4.026665,12.891153,4868.61,24.09482,565.067942,0,11.871,4.891033181,55.87028619,2844.65443,0.019640448,,4,1803.01,144401492,T001803,PC,do observe,,,,
4,4,2,spoc,1272.01,4.289363,3.315997,4972.7,217.521583,979.479471,0,11.758,8.322015337,78.39173117,885.4697114,0.08853124,,4,1272.01,417948359,T001272,VPC+,passed,,yes,no,
2,3,1,spoc,1467.01,1.827003,5.973384,3834,18.079169,525.913556,0,12.293,2.277147971,61.00218825,19357.45371,0.003151354,,5,1467.01,240968774,T001467,PC,passed,,,,
2,3,2,spoc,1798.01,2.387534,8.018944,5165.2,69.788339,737.166286,0,11.361,2.209279027,39.0742735,8716.248315,0.004482923,,5,1798.01,198153540,T001798,PC,do observe,,,,
2,3,3,spoc,1437.01,2.348959,18.840143,6093,87.757866,780.622856,0,9.173,1.350357563,35.20629092,3109.805101,0.01132106,,5,1437.01,198356533,154840,PC,passed,passed,yes,yes,
2,4,2,spoc,238.01,1.676542,1.272419,5024,753.218535,1336.13395,0,10.748,2.30380418,58.19736609,4557.635719,0.012769201,,5,238.01,9006668,T000238,CPC,passed,passed,,,
2,4,3,spoc,1839.01,2.470334,1.424817,5382.69,920.975578,1405.017644,0,10.9,3.982379194,74.37698893,1754.46825,0.042392895,,5,1839.01,381714186,T001839,PC,do observe,,,,
3,3,3,spoc,1774.01,2.739662,16.710042,5853.7,73.760947,747.440061,0,8.25,1.92087394,86.38537683,656.799789,0.131524672,,5,1774.01,4897275,85426,PC,do observe,,,,
3,4,3,spoc,509.01,2.9363,9.059881535,5560.26,135.5821,948.478,0,8.58,2.769019622,115.8237058,428.3301716,0.270407535,2,5,509.01,453211454,63935,VPC,passed,passed,yes,yes,
4,4,2,spoc,1472.01,4.307598,6.364103,5103,110.004112,825.984655,0,11.302,6.590384012,71.84524528,927.7037066,0.077444172,,5,1472.01,306955329,T001472,VPC,passed,,,,
4,4,3,spoc,1722.01,4.431151,9.606666,6137,175.792796,928.688394,0,10.025,4.884008778,74.88226049,521.0481548,0.143714664,,5,1722.01,85242435,T001722,PC,passed,,,,
5,4,3,spoc,1836.01,8.150102,20.379455,6351,153.531794,897.778769,0,9.765,10.21540496,79.63069673,93.73883651,0.849495254,,5,1836.01,207468071,148193,PC,do observe,,,,
2,2,1,spoc,1802.01,2.506646,16.796111,3859,5.9204,397.839148,0,12.763,2.482927137,38.27362573,25101.67969,0.001524744,,,1802.01,138762614,T001802,PC,do observe,,,,
2,3,2,spoc,1244.01,2.389882,6.398386,4599,56.459159,699.122616,0,11.929,2.694035157,38.72405979,9890.635929,0.003915224,,,1244.01,219850915,T001244,PC,passed,passed,,,
2,4,2,spoc,1346.02,1.979445,1.762233,4991.6,468.549066,1186.611407,0,11.693,2.789890839,47.19364824,7420.895438,0.006359562,,,1346.02,219852882,T001346,PC,passed,passed,,,
2,4,2,spoc,1757.01,2.07957,2.125617,4428,209.890671,970.773771,0,12.166,3.173294028,41.90994896,8867.681887,0.004726145,,,1757.01,367753709,T001757,PC,do observe,,,,
2,4,3,spoc,1727.01,2.27447,1.832792,5566,989.31202,1430.385408,0,10.312,3.077453542,61.93622204,1709.415836,0.03623239,,,1727.01,241225337,T001727,CPC,passed,,,,
2,4,3,spoc,1669.01,2.248112,2.679485,5550,692.189753,1308.205712,0,10.218,2.665380283,52.04444941,2089.8368,0.024903595,,,1669.01,428679607,T001669,PC,passed,,,,
2,4,3,spoc,1799.01,1.627715,7.093853,5690,163.466136,911.961908,0,8.98,1.08921932,51.18301141,4001.290302,0.012791627,,,1799.01,8967242,96735,PC,do observe,,,,
2,4,3,spoc,1735.01,2.373393,10.385193,6439,236.201306,999.862599,0,8.788,1.539230545,49.77359849,1678.894427,0.029646652,,,1735.01,365673804,T001735,PC,do observe,,,,
2,4,3,spoc,266.01,2.407741,10.767807,5784,104.770454,815.979892,0,10.07,2.046346673,48.27115977,3093.658092,0.015603263,,,266.01,164767175,HIP8152,PC,passed,passed,,,
2,4,3,spoc,1269.01,2.381773,4.252932,5591,231.205714,994.53344,0,11.618,3.372366246,38.71251946,4739.813639,0.008167519,,,1269.01,198241702,T001269,PC,passed,passed,yes,no,
2,4,3,spoc,266.02,1.759371,6.19132,5784,219.127828,981.282679,0,10.07,1.443659935,38.60773852,6215.855728,0.00621117,,,266.02,164767175,HIP8152,STPC,passed,passed,,,
3,3,1,spoc,1732.01,2.539205,4.121356,3876,44.215291,657.67733,0,12.889,3.874242892,49.86192347,11578.62648,0.004306376,,,1732.01,470987100,T001732,PC,passed,,,,
3,3,2,spoc,1180.01,2.847205,9.692137,4738.1,35.3448,621.872185,0,11.017,3.096333813,63.96897665,3232.475062,0.019789473,,,1180.01,158002130,T001180,VPC,passed,,wait,no,
3,3,2,spoc,1803.02,3.132298,6.294392,4868.61,62.667296,717.595966,0,11.871,4.052656635,56.9724894,4143.345175,0.01375036,,,1803.02,144401492,T001803,PC,do observe,,,,
3,3,2,spoc,1758.01,3.380949,20.703854,5169,20.751601,544.355547,0,10.794,2.89492177,54.54974123,3011.321116,0.018114887,,,1758.01,367858035,T001758,PC,do observe,,,,
3,3,2,spoc,1782.01,2.564396,4.987638,4336,56.046247,697.840843,0,12.329,3.453401202,45.42040934,8700.348766,0.005220527,,,1782.01,160045097,T001782,CPC,do observe,,,,
3,3,3,spoc,561.01,3.772776,10.781327,5391,66.330454,727.860233,0,10.252,4.159027891,87.14310035,885.6192914,0.098397925,,,561.01,377064495,T000561,VPC,passed,passed,yes,yes,
3,3,3,spoc,1339.02,3.067978,28.579356,5555.7,20.850938,545.005831,0,8.97,2.087501951,82.74272157,1079.38643,0.076657182,,,1339.02,269701147,191939,PC,passed,passed,yes,yes,
3,3,3,spoc,1339.03,3.16,38.35,5555.7,14.8,499,0,8.97,1.990101119,77.95502569,1187.628048,0.06563926,,,1339.03,269701147,191939,PC,passed,passed,yes,yes,
3,3,3,spoc,1247.01,2.800653,15.923849,5711.85,70.932692,740.169798,0,9.08,2.07904933,63.34823976,1204.206995,0.052605773,,,1247.01,232540264,135694,PC,passed,,yes,yes,
3,3,3,spoc,1691.01,3.746702,16.731638,5759,59.350052,707.905076,0,10.134,3.330110484,62.19682432,1239.120234,0.050194342,,,1691.01,268334473,T001691,CPC,passed,,,,
3,3,3,spoc,1723.01,3.15697,13.716057,5777,91.580168,788.987475,0,9.664,2.652551656,58.42112443,1266.785353,0.046117619,,,1723.01,71431780,T001723,PC,passed,,,yes,
3,3,3,spoc,561.03,2.842121,16.37165,5391,38.003128,633.249107,0,10.252,2.235563677,52.46088367,3065.184668,0.017115081,,,561.03,377064495,T000561,PC,passed,passed,yes,yes,
3,4,3,spoc,1136.02,3.00227,6.256742,5729,210.125477,971.045159,0,9.534,3.176226036,87.25756807,783.8048221,0.111325633,,,1136.02,142276270,T001136,CPC,passed,passed,yes,yes,
3,4,3,spoc,669.01,3.842242,3.948678,5581.9,641.234094,1283.435066,0,10.606,7.61969847,66.39005324,365.5570489,0.181613385,,,669.01,124573851,T000669,PPC,passed,passed,yes,yes,
3,4,3,spoc,1778.01,2.829971,6.515951,6023,414.067919,1150.502709,0,8.99,2.678129099,64.38338268,667.9865486,0.09638425,,,1778.01,39699648,77946,PC,do observe,,,,
3,4,3,spoc,1287.01,2.584434,9.602018,5891,193.103277,950.751809,0,9.16,2.079326128,52.7197739,1295.941843,0.040680663,,,1287.01,352764091,196603,PC,passed,,yes,yes,
3,4,3,spoc,1716.01,2.741667,8.088417,5878.6,251.439553,1015.61276,0,9.406,2.44918298,52.70939764,1171.624024,0.044988321,,,1716.01,14336130,237566,PC,passed,,,yes,
3,4,3,spoc,1686.01,3.717241,6.702137,6141,505.62713,1209.420544,0,10.411,4.110962433,41.10652596,1049.406422,0.039171216,,,1686.01,102672709,T001686,PC,passed,,,,
4,4,3,spoc,1765.01,5.692516,3.4938,5203.4,286.637399,1049.428763,0,12.478,12.69803133,69.64715772,738.1726414,0.094350771,,,1765.01,272672133,T001765,VPC+?,do observe,,,,
5,4,3,spoc,1248.01,6.615743,4.360136,5227,202.075012,961.607635,0,11.806,15.1068766,108.590523,280.8544896,0.386643358,,,1248.01,232612416,T001248,VPC+,passed,,,,
