fpl_name,rp,teff,sinc,mp,period,TSM
HAT-P-30 b,16.141,6304.0,1195.253187927889,263.7989,2.8106,226.242517300957
HAT-P-31 b,12.218,6065.0,597.4803328341545,721.4741,5.00542,17.055498835160954
HAT-P-32 b,22.194000000000003,6001.0,1841.0,216.1244,2.1500082,507.40436924670354
HAT-P-33 b,20.737,6446.0,1652.1162743152438,292.4036,3.47447,172.22360030722226
HAT-P-34 b,13.417,6442.0,790.1647397695485,1058.3739,5.452654,21.23279630820109
HAT-P-35 b,14.93,6096.0,1035.5276860364838,335.62847999999997,3.646706,46.496425534910216
HAT-P-36 b,14.314,5620.0,1821.0,587.41341,1.32734683,58.64883730797324
HAT-P-37 b,13.204,5500.0,442.0651512403937,371.528,2.797436,44.85023559677943
HAT-P-38 b,9.247,5330.0,223.47307134470225,84.857,4.640382,86.47270598618539
HAT-P-39 b,17.609,6430.0,1554.3800376246352,190.372,3.54387,114.10213928475059
HAT-P-4 b,14.28,5860.0,2405.8108410679283,213.255,3.056536,111.48187023160494
HAT-P-40 b,17.038,6080.0,1610.5614173035751,152.5584,4.45724,147.63661699353995
HAT-P-41 b,22.978,6390.0,2340.000759625616,378.2177,2.69405,169.5995162660611
HAT-P-42 b,14.347999999999999,5743.0,689.971018081235,331.801,4.641878,40.12867034341972
HAT-P-43 b,14.359000000000002,5645.0,559.7506530095264,210.395,3.332687,67.45031146778308
HAT-P-44 b,13.922,5295.0,247.6145238487951,111.871,4.301219,153.18551179106353
HAT-P-45 b,15.984000000000002,6330.0,1227.577043329503,283.492,3.128992,112.01171266436256
HAT-P-46 b,14.392000000000001,6120.0,743.6037138086916,156.684,4.463129,139.49274569003302
HAT-P-49 b,17.822,6820.0,3375.766325216972,699.226,2.69155,57.31178149589878
HAT-P-5 b,13.562999999999999,5960.0,920.4052609906943,311.4734,2.78849,76.39035972693958
HAT-P-50 b,14.437000000000001,6280.0,1968.008968364797,429.0705,3.1220109,35.558599225560954
HAT-P-51 b,14.493,5449.0,332.2331512873356,98.20947,4.2180278,153.26714859933045
HAT-P-52 b,11.31,5131.0,360.1916228605853,259.98494,2.7535953,35.680137360264325
HAT-P-53 b,14.773,5956.0,1659.675322111257,471.65972,1.9616241,30.636973000595784
HAT-P-54 b,10.581,4390.0,75.17673006097131,241.5508,3.799847,71.03013622094376
HAT-P-55 b,13.249,5808.0,492.3212243786008,184.97706000000002,3.5852467,73.36422356409827
HAT-P-56 b,16.926,6566.0,3515.0,734.1873,2.79083,62.61668827206118
HAT-P-57 b,19.504,6330.0,1959.82716320758,448.1403,2.4653,120.03324757176468
